"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-1976",0.691713563328653,-2.28532778108275,0.710666059819795,-3.2157547831428,0.00130101949617043,0.0109430555924516
"hsa-miR-3605-3p",0.83767607262119,-2.38086399317025,0.841608516237396,-2.82894474953087,0.00467017606888523,0.0296131618913405
"hsa-miR-30e-5p",115.646914926867,-0.998195918953521,0.233489628397067,-4.27511888132356,1.91035331936387e-05,0.000322378736239752
"hsa-miR-101-3p",220.56233536889,-1.68620842683481,0.307995881015327,-5.47477590049621,4.38065628136797e-08,4.07401034167221e-06
"hsa-miR-320b",4.00858753732458,-1.65135686220704,0.406748054021891,-4.0599010760557,4.90935110053802e-05,0.000652242360500051
"hsa-miR-92b-5p",3.85079594595807,-2.32429203743704,0.781409570178739,-2.97448626960812,0.00293479589598031,0.0199709281702075
"hsa-miR-610",2.00795025825251,-3.45065285385446,1.0889623344101,-3.16875317429938,0.00153094348013623,0.0119421042022536
"hsa-miR-192-5p",23.7965248686933,-1.60176223582755,0.317575911194584,-5.04371452419803,4.56580342543676e-07,1.59232394462107e-05
"hsa-miR-100-5p",6.86558207377512,-2.16213838388253,0.578203140656549,-3.73940961549851,0.000184452953851416,0.00229309060067517
"hsa-miR-26a-5p",299.338845200559,0.88592081001142,0.15771896338864,5.61708491469346,1.94205995278261e-08,4.07401034167221e-06
"hsa-miR-19a-3p",4.79420416007554,-1.82027189654151,0.507552848836228,-3.58636918444103,0.000335314153767021,0.00334116603217854
"hsa-miR-20a-5p",34.4302563108628,-0.956781825687292,0.305892461136547,-3.1278372213959,0.00176097679358233,0.0132787169029587
"hsa-miR-19b-3p",5.08196330564777,-1.22938097537776,0.456737439421314,-2.69165798392919,0.00710978154916164,0.041325605254502
"hsa-miR-92a-3p",1175.56169839791,-1.38656469457443,0.312079334801087,-4.4429878558226,8.87181751574284e-06,0.000176802649063732
"hsa-miR-625-5p",19.0937875887193,1.42470860661423,0.42107255850122,3.38352281061817,0.00071562262619486,0.00661892226039155
"hsa-miR-543",3.69204649740448,1.55237177735046,0.507975829852355,3.05599535671148,0.00224314729694911,0.0160471306627898
"hsa-miR-7706",4.86667628999811,-2.02653749588582,0.563284418751291,-3.59771623077791,0.000321023584184211,0.00331724370323685
"hsa-miR-193b-5p",1.95474568876121,-2.66849873707787,0.973479364985425,-2.74119702282321,0.00612157881898919,0.0371287063151736
"hsa-miR-22-3p",435.179048910377,-1.19905314673716,0.249653323696917,-4.80287275563304,1.56405284684916e-06,4.8485638252324e-05
"hsa-miR-4732-5p",1.64809093281609,-3.17085716120316,0.877084735549616,-3.61522328765211,0.000300088859679331,0.00331724370323685
"hsa-miR-193a-5p",10.8523917058188,-1.78355955135276,0.492156775376977,-3.62396626560025,0.000290119462154316,0.00331724370323685
"hsa-miR-10a-5p",18.3023753137754,-0.780375927591403,0.295556840630081,-2.64035819955229,0.00828184420961615,0.0453065594996648
"hsa-miR-21-5p",1114.02318932116,0.961903187754779,0.207203579727422,4.64230969860738,3.4453591797703e-06,8.73868373778103e-05
"hsa-miR-3615",13.1441684979662,-1.63390265872798,0.356920034464937,-4.57778353960259,4.69928589894929e-06,0.000109258397150571
"hsa-miR-4746-5p",1.70219190771339,-1.5760594122721,0.490482628009509,-3.21328284075649,0.00131226991029689,0.0109430555924516
"hsa-miR-330-3p",10.1424453317208,1.19443671085976,0.377166880084253,3.16686531593905,0.00154091667125853,0.0119421042022536
"hsa-miR-150-3p",0.922077370353274,-3.48168567829571,1.12685789653316,-3.08972913888016,0.00200339105471845,0.0147091080070118
"hsa-miR-128-3p",70.2022705198113,1.06954142221331,0.201430761574217,5.30972237733033,1.09792347799694e-07,6.03549902750006e-06
"hsa-miR-10b-5p",25.5666179896926,-2.01190725067764,0.471293088737823,-4.26890887805243,1.9643148803139e-05,0.000322378736239752
"hsa-miR-375-3p",14.541704117298,-2.42900579405837,0.554048916373389,-4.3840998913197,1.16466325931236e-05,0.000216627366232099
"hsa-miR-185-5p",149.805200357267,-1.79651738331123,0.34030530296057,-5.27913425880228,1.29795678010754e-07,6.03549902750006e-06
"hsa-miR-191-5p",194.236136993414,0.845967022499589,0.234836725265268,3.60236254165101,0.00031533815602831,0.00331724370323685
"hsa-miR-16-2-3p",27.766754705183,-1.53274137770453,0.374920987386085,-4.08817171956859,4.34786270278242e-05,0.000606526847038147
"hsa-miR-28-5p",1.48946462624163,1.77129147962721,0.524669124428849,3.37601623033454,0.000735435806710172,0.00661892226039155
"hsa-miR-145-3p",0.523050578868307,-2.59016787651365,0.959264533088699,-2.70016016142458,0.00693061026421017,0.0411412822066944
"hsa-miR-378a-3p",35.6932159027567,-1.72876108383696,0.313696260239584,-5.51093941163541,3.56923579477267e-08,4.07401034167221e-06
"hsa-miR-30a-5p",12.6458246825592,-1.04238985595562,0.324867907026151,-3.20865752944846,0.00133356233026293,0.0109430555924516
"hsa-miR-25-3p",51.0471253085868,-1.74941705044486,0.326733630821287,-5.35426073541154,8.59069107819951e-08,5.99200702704415e-06
"hsa-miR-93-5p",15.7880027603623,-1.20380374552383,0.322455933572783,-3.733234901854,0.000189036142707989,0.00229309060067517
"hsa-miR-320a-3p",782.986952588469,-1.3812235289333,0.293650256816905,-4.70363467039128,2.55570384412691e-06,7.13041372511406e-05
"hsa-miR-30d-5p",1016.02501742163,0.480387349313617,0.114694000669037,4.18842612962672,2.80895711084269e-05,0.000435388352180617
"hsa-miR-939-5p",4.58972016587438,-1.71289196456542,0.6091776645811,-2.81181018963209,0.0049263564817006,0.0305434101865437
"hsa-let-7f-5p",7.70147261160427,1.33570455906078,0.440832196808203,3.02996144277075,0.00244584960964637,0.0170598010272835
"hsa-miR-126-3p",238.402083021722,0.553384976347955,0.192439055875682,2.87563755615933,0.00403212413084908,0.0261619216862068
"hsa-miR-221-3p",16.8791528456159,1.17470955881265,0.397018730035051,2.95882654883546,0.00308812864163057,0.0205139974051173
"hsa-miR-222-3p",54.1845910049406,1.25087710512136,0.27841742970683,4.49281176986123,7.02889074637315e-06,0.000150850809095239
"hsa-miR-660-5p",4.67820513042298,-2.11636696182528,0.415361885285462,-5.09523631512503,3.48306505746776e-07,1.38825021576215e-05
"hsa-miR-361-3p",14.2560112048804,0.799943295984097,0.302892838386427,2.64101092731529,0.0082659053295433,0.0453065594996648
"hsa-miR-363-3p",3.24152189176242,-1.79120413994758,0.521877528650675,-3.43223082353973,0.000598637813922665,0.00575930862360081
"hsa-miR-20b-5p",1.6933185533158,-1.68811145817781,0.636006262177085,-2.65423716489726,0.00794879373705189,0.0452594582170914
"hsa-miR-224-5p",24.6509306362751,1.33846297823847,0.323441920100409,4.13818647200388,3.50061817574969e-05,0.00051403814264956
